fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-09-30,1077000000,None,None,None,9002000000,5430000000,253000000,8792000000,5000000,508603895,5000000,2610000000,None,None,None,4091000000,2039000000,1633000000,62773000000,29593000000,None,None,1135000000,-11658000000,5821000000,508000000,6954000000,14958000000,1605000000,1643000000,-6476000000,None,None,38336000000,USD,-4487000000,-4487000000,2710000000,8031000000,62773000000,12340000000,16584000000,68301000000,30076000000,50433000000,51717000000,None,-5528000000,None,None
2020-06-30,6148000000,None,None,None,8776000000,5377000000,1001000000,10352000000,5000000,508556154,5000000,2575000000,None,None,None,4091000000,2049000000,1653000000,64544000000,28698000000,None,None,19107000000,-3169000000,4599000000,905000000,16750000000,14043000000,21015000000,8323000000,-6463000000,None,None,33351000000,USD,-2088000000,-2088000000,2575000000,9351000000,64544000000,13789000000,18000000000,67713000000,28698000000,41674000000,49713000000,None,-3169000000,None,None
2020-03-31,5376000000,None,None,None,9625000000,3861000000,631000000,3733000000,4000000,422886533,4000000,3415000000,None,None,None,4091000000,2059000000,1772000000,58580000000,21033000000,None,None,22415000000,-2636000000,4048000000,650000000,18886000000,13200000000,20439000000,8619000000,-6480000000,None,None,34206000000,USD,-21000000,-21000000,3518000000,3102000000,58580000000,7175000000,19213000000,61216000000,21564000000,42825000000,42003000000,None,-2636000000,None,None
2019-12-31,5741000000,None,-18659000000,None,9129000000,3945000000,438000000,3984000000,4000000,428202506,4000000,2861000000,None,None,None,4091000000,2084000000,1851000000,59995000000,21454000000,204000000,None,14201000000,-118000000,3352000000,621000000,17710000000,12927000000,20348000000,16794000000,-6331000000,None,None,34995000000,USD,2264000000,2264000000,2861000000,3546000000,59995000000,8206000000,18311000000,60113000000,21454000000,51789000000,41802000000,None,-118000000,None,None
2019-09-30,5514000000,None,None,None,9207000000,4208000000,470000000,5326000000,4000000,438035288,4000000,3608000000,None,None,None,4091000000,2095000000,1800000000,61175000000,21625000000,183000000,None,21224000000,160000000,3340000000,596000000,19204000000,12295000000,19830000000,8842000000,-5946000000,None,None,34619000000,USD,1894000000,1894000000,3608000000,4856000000,61175000000,9572000000,19560000000,61015000000,21625000000,43461000000,41455000000,None,160000000,None,None
2019-06-30,5718000000,None,None,None,9457000000,4386000000,476000000,5564000000,5000000,445262351,5000000,3500000000,None,None,None,4091000000,2105000000,1708000000,61967000000,21791000000,214000000,None,21145000000,-22000000,1903000000,635000000,20171000000,12257000000,20075000000,9102000000,-5927000000,None,None,34702000000,USD,1514000000,1514000000,3500000000,5088000000,61967000000,9850000000,20123000000,61989000000,21791000000,43804000000,41866000000,None,-22000000,None,None
2019-03-31,5566000000,None,None,None,9414000000,4371000000,493000000,4505000000,5000000,444216229,5000000,3370000000,None,None,None,4091000000,2115000000,1666000000,60787000000,20660000000,265000000,None,21897000000,-636000000,3339000000,607000000,20197000000,13129000000,20914000000,9124000000,-5909000000,None,None,34410000000,USD,897000000,897000000,3370000000,4012000000,60787000000,8654000000,19849000000,61423000000,20660000000,43534000000,41574000000,None,-636000000,None,None
2018-12-31,5542000000,None,-17443000000,None,None,4964000000,429000000,4914000000,5000000,460610870,5000000,3213000000,None,None,None,4091000000,2137000000,1522000000,60580000000,20566000000,189000000,None,12372000000,-169000000,3555000000,495000000,16866000000,13572000000,21474000000,17845000000,-5274000000,None,None,34098000000,USD,136000000,136000000,3294000000,4485000000,60580000000,8637000000,18096000000,60749000000,21179000000,51943000000,42653000000,None,-169000000,None,None
2018-09-30,5573000000,None,None,0,None,4946000000,457000000,5009000000,5000000,460559470,5000000,2493000000,None,0,None,4091000000,2147000000,1576000000,52635000000,22274000000,211000000,None,21609000000,-568000000,3795000000,743000000,16564000000,14581000000,14581000000,None,-5203000000,None,0,34223000000,USD,-316000000,-316000000,2493000000,4552000000,52635000000,9498000000,16348000000,53203000000,22274000000,34223000000,36855000000,0,-568000000,0,None
2018-06-30,5753000000,None,None,0,None,4923000000,476000000,4857000000,5000000,460502096,5000000,2213000000,None,5484000000,None,4091000000,2157000000,1522000000,52622000000,21863000000,None,None,21366000000,-869000000,4166000000,856000000,8703000000,14959000000,9475000000,None,-5187000000,None,0,34424000000,USD,-610000000,-610000000,2213000000,4381000000,52622000000,9176000000,16669000000,53491000000,21863000000,34424000000,36822000000,0,-869000000,0,None
2018-03-31,5490000000,None,None,0,None,5279000000,591000000,5585000000,5000000,467390481,5000000,2793000000,None,5610000000,None,4091000000,6284000000,1455000000,53280000000,21946000000,None,None,20488000000,-1018000000,9274000000,824000000,8725000000,15344000000,9734000000,None,-5172000000,None,0,34333000000,USD,-1130000000,-1130000000,2793000000,4994000000,53280000000,9673000000,17008000000,54298000000,21946000000,34333000000,37290000000,0,-1018000000,0,None
2017-12-31,5641000000,None,-15646000000,0,None,5714000000,613000000,5384000000,5000000,475507887,5000000,2476000000,None,0,None,4091000000,6294000000,1359000000,51396000000,22511000000,None,None,10574000000,3926000000,8094000000,651000000,6769000000,9962000000,9995000000,8094000000,-5154000000,None,0,34156000000,USD,3361000000,3361000000,2554000000,4771000000,51396000000,9146000000,14964000000,47470000000,22511000000,42250000000,32506000000,0,3926000000,0,None
2017-09-30,5294000000,None,None,0,None,5918000000,733000000,6161000000,5000000,479999894,5000000,2467000000,None,0,None,4091000000,6305000000,1315000000,52401000000,22217000000,None,None,19245000000,3948000000,9088000000,826000000,7546000000,10929000000,10929000000,None,-5127000000,None,0,33311000000,USD,3152000000,3152000000,2467000000,5428000000,52401000000,10002000000,15307000000,48453000000,22217000000,33311000000,33146000000,0,3948000000,0,None
2017-06-30,5542000000,None,-15128000000,0,None,6245000000,940000000,7440000000,5000000,487661923,5000000,24859000000,None,0,None,4091000000,6315000000,1206000000,53336000000,22525000000,None,None,9572000000,3715000000,9327000000,827000000,8236000000,10984000000,10984000000,9327000000,-5112000000,None,0,32993000000,USD,2577000000,2577000000,2334000000,6500000000,53336000000,11016000000,16112000000,49621000000,22525000000,42320000000,33509000000,0,3715000000,0,None
2017-03-31,5218000000,None,-14640000000,0,None,6726000000,917000000,7219000000,5000000,495749816,5000000,24543000000,None,494000000,None,4091000000,6327000000,1154000000,52627000000,22829000000,None,None,1397000000,3457000000,9710000000,856000000,8354000000,11055000000,10561000000,9710000000,-5097000000,None,0,32291000000,USD,1823000000,1823000000,1714000000,6302000000,52627000000,10626000000,15286000000,49170000000,22829000000,42001000000,33884000000,0,3457000000,0,None
2016-12-31,5316000000,None,-14194000000,0,None,7223000000,960000000,6997000000,5000000,507294153,5000000,1855000000,None,526000000,None,4091000000,6264000000,1094000000,51274000000,22489000000,None,None,1594000000,3785000000,9791000000,639000000,6701000000,11117000000,10602000000,9791000000,-5083000000,None,0,31159000000,USD,1640000000,1640000000,1855000000,6037000000,51274000000,10324000000,13872000000,47489000000,22489000000,40950000000,33617000000,0,3785000000,0,None
2016-09-30,1673000000,None,None,0,None,None,381000000,None,5000000,529000000,0,1798000000,None,0,None,4091000000,6280000000,1100000000,None,21545000000,None,None,1703000000,-1889000000,9756000000,855000000,11062000000,10639000000,None,None,-4778000000,None,0,30304000000,USD,0,0,1798000000,7009000000,51108000000,0,14533000000,46717000000,None,None,None,0,4391000000,0,None
2016-06-30,5707000000,None,-13804000000,0,None,8351000000,1086000000,7758000000,5000000,537141492,5000000,1715000000,None,590000000,None,4091000000,6304000000,999000000,51051000000,21131000000,None,None,1593000000,4312000000,10256000000,834000000,7495000000,10691000000,10101000000,10256000000,-4763000000,None,0,29611000000,USD,719000000,719000000,1715000000,6672000000,51051000000,11184000000,14917000000,46739000000,21131000000,39867000000,31822000000,0,4312000000,0,None
