fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-09-30,10108000000,None,None,None,None,88161000000,13000000000,21912000000,470000000,None,470000000,13364000000,None,4542000000,None,59902000000,30927000000,9295000000,178983000000,49785000000,19008000000,None,10012000000,-25569000000,6873000000,6519000000,10683000000,29549000000,25008000000,4355000000,-12676000000,None,None,14403000000,USD,100284000000,100284000000,13363000000,8912000000,178983000000,47739000000,34154000000,113487000000,49785000000,2649000000,79335000000,None,65259000000,-110980000000,None
2020-06-30,9470000000,None,None,None,None,87886000000,13213000000,22794000000,470000000,None,470000000,13084000000,None,5409000000,None,58449000000,33541000000,8564000000,177934000000,50529000000,18720000000,None,9128000000,-27654000000,6547000000,5939000000,10168000000,30118000000,24710000000,4327000000,-13246000000,None,None,14113000000,USD,100203000000,100203000000,13084000000,9581000000,177934000000,46424000000,32723000000,113370000000,50529000000,2360000000,80648000000,None,64336000000,-110978000000,None
2020-03-31,7368000000,None,None,None,None,87680000000,2151000000,10350000000,470000000,5613000000,470000000,16007000000,None,5268000000,None,58502000000,34464000000,8423000000,166336000000,36281000000,18220000000,None,9881000000,-27957000000,6239000000,6083000000,10515000000,30827000000,25559000000,4166000000,-13131000000,None,17000000,14040000000,USD,101000000000,101000000000,16007000000,8199000000,166336000000,34738000000,33890000000,100998000000,36281000000,2207000000,67108000000,None,65026000000,-111010000000,None
2019-12-31,10024000000,None,None,None,None,87428000000,1305000000,9830000000,468000000,5675000000,468000000,16195000000,None,5578000000,None,58653000000,35370000000,8283000000,167489000000,35955000000,20147000000,None,8724000000,-30896000000,4970000000,5965000000,11083000000,29736000000,25205000000,4450000000,-11640000000,None,17000000,13967000000,USD,97670000000,97670000000,16195000000,8525000000,167489000000,32803000000,37304000000,104042000000,35955000000,2099000000,66738000000,None,63143000000,-110801000000,None
2019-09-30,10195000000,None,None,None,None,87099000000,2785000000,9087000000,468000000,5649000000,468000000,16617000000,None,6724000000,None,58665000000,38995000000,8222000000,170446000000,36044000000,18722000000,None,9439000000,-32576000000,5041000000,6713000000,10160000000,30996000000,25309000000,4920000000,-11801000000,None,18000000,13701000000,USD,100113000000,100113000000,16617000000,6302000000,170446000000,33459000000,36974000000,105051000000,36044000000,1984000000,68077000000,None,65103000000,-110795000000,None
2019-06-30,9404000000,None,None,None,None,86963000000,1784000000,12912000000,468000000,5672000000,468000000,10506000000,None,3180000000,None,53352000000,33024000000,8233000000,156199000000,36168000000,2905000000,None,9793000000,-26826000000,5051000000,16135000000,12119000000,27050000000,24896000000,4388000000,-11535000000,None,18000000,13521000000,USD,94440000000,94440000000,10507000000,11128000000,156199000000,47073000000,32030000000,96274000000,36168000000,1935000000,64244000000,None,59568000000,-110786000000,None
2019-03-31,7802000000,None,None,None,None,86635000000,1937000000,11619000000,468000000,5750000000,468000000,9410000000,None,3591000000,None,53487000000,34039000000,8029000000,155421000000,35733000000,2859000000,None,9599000000,-28739000000,4999000000,16042000000,12211000000,29886000000,27515000000,4333000000,-10923000000,None,19000000,13467000000,USD,93388000000,93388000000,9410000000,9682000000,155421000000,45290000000,29423000000,96263000000,35733000000,1946000000,66839000000,None,58806000000,-110781000000,None
2018-12-31,10383000000,None,None,None,None,86253000000,1139000000,18833000000,467000000,5977000000,467000000,4781000000,None,3700000000,None,53411000000,35211000000,7508000000,159422000000,32909000000,2767000000,None,8025000000,-25656000000,4442000000,15560000000,12643000000,30519000000,27197000000,2799000000,-11275000000,None,19000000,13385000000,USD,89554000000,89554000000,8831000000,17694000000,159000000000,49926000000,31858000000,95664000000,32909000000,1924000000,63806000000,None,63407000000,-101610000000,None
2018-09-30,11137000000,None,None,0,None,85828000000,3559000000,17239000000,466000000,5986000000,466000000,4264000000,None,5512000000,None,55614000000,45306000000,8184000000,167838000000,33652000000,6444000000,None,10024000000,-29622000000,4668000000,6136000000,10490000000,32856000000,27997000000,2980000000,-10417000000,None,20000000,14036000000,USD,91995000000,91995000000,7385000000,13680000000,167838000000,41583000000,29013000000,96174000000,33652000000,1875000000,67161000000,71664000000,71319000000,-96574000000,None
2018-06-30,10448000000,None,None,0,None,84898000000,2704000000,13431000000,465000000,5952000000,465000000,4273000000,None,5743000000,None,55836000000,46584000000,8074000000,164980000000,28935000000,6595000000,None,9873000000,-32642000000,4519000000,5925000000,10125000000,33267000000,28023000000,2896000000,-10003000000,None,20000000,13919000000,USD,89860000000,89860000000,11583000000,10727000000,165000000000,37303000000,32156000000,94856000000,28935000000,1848000000,62701000000,70124000000,69778000000,-95463000000,None
2018-03-31,7404000000,None,None,0,None,84599000000,2302000000,11421000000,465000000,6057000000,465000000,4765000000,None,5967000000,None,56393000000,47690000000,8148000000,164612000000,31831000000,6945000000,None,9452000000,-33921000000,4526000000,5814000000,10950000000,34450000000,28908000000,2896000000,-9402000000,None,21000000,13971000000,USD,89961000000,89961000000,9010000000,9119000000,164612000000,34835000000,27365000000,94071000000,31831000000,1883000000,66706000000,70541000000,70184000000,-95460000000,None
2017-12-31,9358000000,None,None,84278000000,None,84278000000,1342000000,19992000000,464000000,6058000000,464000000,3547000000,None,3900000000,None,55952000000,48741000000,7578000000,171797000000,33538000000,7015000000,None,8221000000,-33203000000,116790000000,5351000000,11115000000,32276000000,32276000000,3227000000,-9321000000,None,21000000,13865000000,USD,85291000000,85291000000,9953000000,18650000000,172000000000,41141000000,30427000000,100141000000,33538000000,1855000000,69714000000,71656000000,71308000000,-89425000000,None
2017-09-30,8324000000,None,None,None,None,83827000000,2779000000,16925000000,463000000,6041000000,463000000,44105000000,None,30411000000,None,56078000000,49721000000,7925000000,172151000000,34503000000,7311000000,None,10002000000,-45051000000,118356000000,5437000000,10446000000,17910000000,17910000000,3388000000,-9164000000,None,22000000,13505000000,USD,75043000000,75043000000,9448000000,14146000000,172151000000,40291000000,28217000000,111041000000,34503000000,1858000000,82824000000,None,60770000000,-89421000000,None
2017-06-30,7520000000,None,None,None,None,83373000000,2585000000,14333000000,463000000,None,463000000,43871000000,None,30879000000,None,55014000000,51348000000,7584000000,168558000000,34191000000,7008000000,None,9476000000,-48016000000,118787000000,4993000000,10148000000,17612000000,17612000000,3466000000,-10181000000,None,23000000,13386000000,USD,74107000000,74107000000,9514000000,11748000000,168558000000,36385000000,27182000000,109863000000,34191000000,1952000000,82682000000,None,58368000000,-89416000000,None
2017-03-31,6041000000,None,None,None,None,83111000000,4057000000,14560000000,463000000,None,463000000,7680000000,None,30857000000,None,54656000000,52427000000,7415000000,168784000000,36330000000,7346000000,None,8892000000,-48671000000,119668000000,5012000000,11143000000,17987000000,17987000000,3329000000,-10594000000,None,23000000,13238000000,USD,74847000000,74847000000,7680000000,10503000000,168784000000,35878000000,24864000000,110038000000,36330000000,1909000000,85174000000,None,58435000000,-89414000000,None
2016-12-31,9404000000,None,None,82685000000,None,82685000000,2595000000,17850000000,461000000,6159000000,461000000,4226000000,None,30753000000,None,54449000000,52648000000,6783000000,171615000000,31398000000,7116000000,None,8225000000,-47578000000,119348000000,6091000000,11023000000,18509000000,18509000000,3323000000,-11036000000,None,24000000,13318000000,USD,71774000000,71774000000,10688000000,15255000000,171615000000,38949000000,31115000000,111776000000,31398000000,1812000000,80660000000,59840000000,59544000000,-84364000000,None
