date,close,high,low
2021-01-06,15.5200,15.8800,14.8700
2020-12-31,15.7700,18.6300,13.8500
2020-11-30,14.1300,15.5600,10.8700
2020-10-30,11.2800,13.6800,10.6300
2020-09-30,12.2900,14.1600,11.2200
2020-08-31,13.0500,15.1000,10.7100
2020-07-31,11.1200,14.2900,10.8000
2020-06-30,13.0700,22.8000,10.6200
2020-05-29,10.5000,12.5500,8.2500
2020-04-30,12.0100,13.4000,9.0900
2020-03-31,12.1900,19.7900,10.0100
2020-02-28,19.0500,30.7800,18.7700
2020-01-31,26.8400,29.2950,25.3700
2019-12-31,28.6800,29.8092,26.6800
2019-11-29,28.7400,31.5800,27.8400
2019-10-31,30.0600,31.6700,24.5100
2019-09-30,26.9700,30.3400,25.9500
2019-08-30,26.3100,30.5650,24.2300
2019-07-31,30.5100,34.9900,30.2100
2019-06-28,32.6100,33.8100,27.0200
2019-05-31,27.2300,34.9000,27.1050
2019-04-30,34.1800,35.2400,31.7000
2019-03-29,31.7600,35.9600,29.9700
2019-02-28,35.6300,37.2300,34.7700
2019-01-31,35.7700,37.0800,28.8100
2018-12-31,32.1100,40.5800,29.5900
2018-11-30,40.1600,40.2000,34.8399
2018-10-31,35.0800,41.7500,30.2400
2018-09-28,41.3300,43.8900,38.1500
2018-08-31,40.4800,41.0400,36.4150
2018-07-31,39.5400,40.8590,35.6400
2018-06-29,37.9600,45.0213,37.0600
2018-05-31,43.5400,45.8200,41.4700
2018-04-30,42.9300,53.0800,40.6500
2018-03-29,51.9600,57.4400,50.0500
2018-02-28,54.2500,55.6000,46.3300
2018-01-31,54.3200,59.0800,51.9000
2017-12-29,52.0300,53.4700,48.6900
2017-11-30,50.4900,51.1600,45.2700
2017-10-31,46.8200,53.7400,46.7900
2017-09-29,47.4900,48.6000,42.6066
2017-08-31,44.7400,52.0000,42.6700
2017-07-31,50.4400,54.4800,48.7300
2017-06-30,50.3200,51.9500,48.0100
2017-05-31,48.4100,48.8200,42.0100
2017-04-28,42.6200,47.3900,40.8200
2017-03-31,42.3000,48.1350,39.2100
2017-02-28,46.3600,48.0500,43.5700
2017-01-31,44.2500,50.0000,43.7420
2016-12-30,46.6900,50.6400,45.5800
2016-11-30,46.4400,47.1400,39.2400
2016-10-31,40.6000,40.9300,36.3300
2016-09-30,36.6100,39.5200,33.9000
2016-08-31,36.3000,37.3550,33.0000
2016-07-29,35.5000,36.7390,27.1200
2016-06-30,28.3100,33.5800,24.8500
2016-05-31,31.9100,35.1650,30.9900
2016-04-29,34.6900,41.7600,34.1000
2016-03-31,41.0100,43.7800,40.0500
2016-02-29,41.0000,41.6000,34.7600
2016-01-29,38.9900,42.7400,36.2000
2015-12-31,42.3500,46.4900,40.7000
2015-11-30,41.2600,47.0900,40.4500
2015-10-30,46.2200,46.7700,37.4200
2015-09-30,38.8300,44.5900,37.7200
2015-08-31,38.9800,44.4500,34.1000
2015-07-31,40.1000,43.8100,37.8000
2015-06-30,39.9350,44.3800,38.4500
2015-05-29,42.3700,50.3000,41.3200
2015-04-30,48.2850,53.4700,46.8800
2015-03-31,52.7800,56.0500,46.4700
2015-02-27,47.9000,52.2000,45.9500
2015-01-30,49.0800,56.2000,48.1000
2014-12-31,53.6300,54.6400,46.0500
2014-11-28,48.5300,49.4500,41.4300
2014-10-31,41.3500,41.7500,28.1000
2014-09-30,35.4800,40.5400,34.3400
2014-08-29,38.8810,41.0000,35.2300
2014-07-31,38.8500,44.0000,37.9000
2014-06-30,42.9600,44.8800,38.8550
2014-05-30,40.1600,40.3300,35.4650
2014-04-30,35.0700,38.9000,31.8600
2014-03-31,36.6000,39.8800,35.0200
2014-02-28,36.9300,37.2800,33.0500
2014-01-31,33.5500,34.2000,25.0600
2013-12-31,25.2500,27.2000,21.4500
2013-11-29,23.4800,25.4900,21.6000
2013-10-31,21.9700,23.1600,18.9800
2013-09-30,18.9600,19.4800,16.1100
2013-08-30,16.1600,19.5900,15.2800
2013-07-31,19.3500,19.4900,16.0400
2013-06-28,16.4200,18.2000,15.5900
2013-05-31,17.5700,19.7000,16.6000
2013-04-30,16.9000,17.1300,15.0300
2013-03-28,16.9700,17.4300,13.3200
2013-02-28,13.4300,15.4000,12.7000
2013-01-31,14.2800,15.6400,13.6000
2012-12-31,13.5000,13.7500,11.9700
2012-11-30,12.8900,13.1900,11.5200
2012-10-31,12.1800,12.6300,10.3200
2012-09-28,10.4600,12.4800,10.1500
2012-08-31,10.6600,11.7500,9.7400
2012-07-31,11.4600,14.5100,10.5900
2012-06-29,13.3300,13.8000,11.1200
2012-05-31,13.2200,13.3600,9.6500
2012-04-30,10.2600,10.4400,7.4100
2012-03-30,7.5900,7.9700,6.7800
2012-02-29,7.4100,9.9100,6.9000
2012-01-31,8.4400,8.7900,4.9700
2011-12-30,5.0700,6.2300,4.8200
2011-11-30,4.7200,5.7300,3.9600
2011-10-31,5.7700,6.4800,4.5300
2011-09-30,5.5000,6.5700,4.6800
2011-08-31,5.5900,6.4300,4.9500
2011-07-29,6.2400,9.1500,5.7700
2011-06-30,8.9100,9.3400,7.9400
2011-05-31,9.1000,10.3500,8.9800
2011-04-29,9.0900,9.1600,7.7600
2011-03-31,8.7100,9.3800,7.7100
2011-02-28,8.6100,10.2100,8.1600
2011-01-31,9.9200,11.5600,9.6700
2010-12-31,10.0100,11.4300,9.8000
2010-11-30,11.1600,12.2600,10.5100
2010-10-29,11.7900,12.2400,8.9400
2010-09-30,9.2500,10.1700,8.5100
2010-08-31,9.0400,11.4000,8.4000
2010-07-30,10.8500,11.1500,8.0200
2010-06-30,8.6100,10.8700,8.1600
2010-05-28,8.8300,8.9700,5.7000
2010-04-30,7.0700,7.8700,6.2700
2010-03-31,7.3500,8.1700,6.8100
2010-02-26,7.3300,7.4000,5.3500
2010-01-29,5.3100,5.9600,4.4700
2009-12-31,4.8400,5.4000,3.6300
2009-11-30,3.6900,3.7200,2.8200
2009-10-30,3.0600,4.7000,2.9500
2009-09-30,4.7000,5.6000,2.8900
2009-08-31,3.4000,3.8800,2.6100
2009-07-31,2.9300,3.1200,2.0000
2009-06-30,2.4300,3.2000,2.1100
2009-05-29,2.5800,5.3500,2.4100
2009-04-30,3.7900,5.0600,2.4400
2009-03-31,2.5300,3.4600,1.8800
2009-02-27,2.8500,6.1500,2.7200
2009-01-30,5.6700,9.7000,5.3900
2008-12-31,7.7300,8.0500,4.8800
2008-11-28,5.9600,11.2400,4.0000
2008-10-31,10.1400,10.9900,3.1600
2008-09-30,6.0300,10.4600,5.2900
2008-08-29,8.4900,9.7900,4.6800
2008-07-31,5.0600,5.8000,1.4500
2008-06-30,2.5000,4.7700,2.3000
2008-05-30,3.9600,9.6200,3.9600
2008-04-30,8.5900,9.9400,6.1000
2008-03-31,8.9100,12.9600,7.2400
2008-02-29,12.4000,16.4400,12.4000
2008-01-31,13.8400,14.5800,10.1800
2007-12-31,14.7100,21.2100,14.4100
2007-11-30,20.7700,27.5000,18.0000
2007-10-31,27.6600,33.4500,26.0000
2007-09-28,26.2500,33.9600,25.7000
2007-08-31,30.9500,32.7100,24.2600
2007-07-31,31.0100,36.8100,30.3800
2007-06-29,30.2700,35.9600,26.7800
2007-05-31,35.6500,37.4100,32.1000
2007-04-30,36.9400,48.3000,36.6800
2007-03-30,45.4800,53.0900,44.0100
2007-02-28,52.2900,59.8500,50.6000
2007-01-31,55.9800,62.5000,51.5200
2006-12-29,53.8500,62.7000,53.8500
2006-11-30,56.7600,63.2700,47.0000
2006-10-31,49.8600,51.6500,43.8100
2006-09-29,44.3300,48.2900,38.8000
2006-08-31,42.2500,47.0300,36.8000
2006-07-31,45.6900,56.4100,44.7500
2006-06-30,50.5400,50.9000,41.0000
2006-05-31,46.7000,52.1800,42.7600
2006-04-28,43.2600,44.7000,36.1900
2006-03-31,40.0000,40.0200,31.3200
2006-02-28,33.0900,35.0200,28.3500
2006-01-31,29.3400,40.6000,28.3000
2005-12-30,37.1400,38.8000,31.3800
2005-11-30,33.5900,34.5500,24.6900
2005-10-31,24.6800,25.3500,20.8500
