date,close,high,low
2021-01-06,126.6000,133.6116,126.3820
2020-12-31,132.6900,138.7890,120.0100
2020-11-30,119.0500,121.9900,107.3200
2020-10-30,108.8600,125.3900,107.7200
2020-09-30,115.8100,137.9800,103.1000
2020-08-31,129.0400,515.1400,126.0000
2020-07-31,425.0400,425.6600,356.5800
2020-06-30,364.8000,372.3800,317.2100
2020-05-29,317.9400,324.2400,285.8500
2020-04-30,293.8000,294.5300,236.9000
2020-03-31,254.2900,304.0000,212.6100
2020-02-28,273.3600,327.2200,256.3700
2020-01-31,309.5100,327.8500,292.7500
2019-12-31,293.6500,293.9700,256.2900
2019-11-29,267.2500,268.0000,249.1600
2019-10-31,248.7600,249.7500,215.1300
2019-09-30,223.9700,226.4200,204.2200
2019-08-30,208.7400,218.0300,192.5800
2019-07-31,213.0400,221.3700,198.4100
2019-06-28,197.9200,201.5700,170.2700
2019-05-31,175.0700,215.3100,174.9900
2019-04-30,200.6700,208.4800,188.3800
2019-03-29,189.9500,197.6900,169.5000
2019-02-28,173.1500,175.8700,165.9300
2019-01-31,166.4400,169.0000,142.0000
2018-12-31,157.7400,184.9400,146.5900
2018-11-30,178.5800,222.3600,170.2600
2018-10-31,218.8600,233.4700,206.0900
2018-09-28,225.7400,229.6700,215.3000
2018-08-31,227.6300,228.8700,197.3100
2018-07-31,190.2900,195.9600,183.4200
2018-06-29,185.1100,194.2000,180.7300
2018-05-31,186.8700,190.3700,165.2700
2018-04-30,165.2600,178.9400,160.6300
2018-03-29,167.7800,183.5000,164.9400
2018-02-28,178.1200,180.6200,150.2400
2018-01-31,167.4300,180.1000,164.7000
2017-12-29,169.2300,177.2000,166.4600
2017-11-30,171.8500,176.2400,165.2800
2017-10-31,169.0400,169.6499,152.4600
2017-09-29,154.1200,164.9400,149.1600
2017-08-31,164.0000,164.5200,148.4100
2017-07-31,148.7300,153.9900,142.4100
2017-06-30,144.0200,155.9800,142.2000
2017-05-31,152.7600,156.6500,144.2700
2017-04-28,143.6500,145.4600,140.0600
2017-03-31,143.6600,144.5000,137.0500
2017-02-28,136.9900,137.4800,127.0100
2017-01-31,121.3500,122.4400,114.7600
2016-12-30,115.8200,118.0166,108.2500
2016-11-30,110.5200,113.7700,104.0800
2016-10-31,113.5400,118.6900,112.2800
2016-09-30,113.0500,116.1800,102.5300
2016-08-31,106.1000,110.2300,104.0000
2016-07-29,104.2100,104.5500,94.3700
2016-06-30,95.6000,101.8900,91.5000
2016-05-31,99.8600,100.7300,89.4700
2016-04-29,93.7400,112.3900,92.5100
2016-03-31,108.9900,110.4200,97.4200
2016-02-29,96.6900,98.8900,92.5900
2016-01-29,97.3400,105.8500,92.3900
2015-12-31,105.2600,119.8600,104.8200
2015-11-30,118.3000,123.8200,111.0000
2015-10-30,119.5000,121.2200,107.3100
2015-09-30,109.9500,116.8900,107.3600
2015-08-31,112.7600,122.5700,92.0000
2015-07-31,121.3000,132.9700,119.2200
2015-06-30,125.4250,131.3900,124.4800
2015-05-29,130.2800,132.9700,123.3600
2015-04-30,125.1500,134.5400,123.1000
2015-03-31,124.4300,130.2800,121.6300
2015-02-27,128.4600,133.6000,116.0800
2015-01-30,117.1600,120.0000,104.6300
2014-12-31,110.3800,119.2500,106.2600
2014-11-28,118.9300,119.7500,107.7200
2014-10-31,108.0000,108.0400,95.1800
2014-09-30,100.7500,103.7400,96.1400
2014-08-29,102.5000,102.9000,93.2800
2014-07-31,95.6000,99.4400,92.5700
2014-06-30,92.9300,651.2600,89.6500
2014-05-30,633.0000,644.1700,580.3300
2014-04-30,590.0900,599.4300,511.3300
2014-03-31,536.7400,549.0000,522.8100
2014-02-28,526.2400,551.1900,499.3000
2014-01-31,500.6000,560.2000,493.5500
2013-12-31,561.0200,575.1358,538.8000
2013-11-29,556.0700,558.3300,512.3800
2013-10-31,522.7020,539.2500,478.2800
2013-09-30,476.7500,507.9200,447.2200
2013-08-30,487.2160,513.7400,453.2600
2013-07-31,452.5300,457.3425,401.2200
2013-06-28,396.5300,454.4300,388.8700
2013-05-31,449.7350,465.7500,418.9000
2013-04-30,442.7800,445.2500,385.1000
2013-03-28,442.6600,469.9500,419.0000
2013-02-28,441.4000,484.9400,437.6600
2013-01-31,455.4900,555.0000,435.0000
2012-12-31,532.1729,594.5900,501.2300
2012-11-30,585.2800,603.0000,505.7501
2012-10-31,595.3200,676.7500,587.7000
2012-09-28,667.1050,705.0700,656.0000
2012-08-31,665.2400,680.8700,600.2500
2012-07-31,610.7600,619.8700,570.0000
2012-06-29,584.0000,590.0000,548.5000
2012-05-31,577.7300,596.7600,522.1800
2012-04-30,583.9800,644.0000,555.0000
2012-03-30,599.5500,621.4500,516.2210
2012-02-29,542.4400,547.6100,453.9800
2012-01-31,456.4800,458.2400,409.0000
2011-12-30,405.0000,409.0900,377.6800
2011-11-30,382.2000,408.0000,363.3200
2011-10-31,404.7800,426.7000,354.2400
2011-09-30,381.3200,422.8600,366.4800
2011-08-31,384.8300,399.5000,353.0200
2011-07-29,390.4800,404.5000,334.2000
2011-06-30,335.6700,352.1320,310.5000
2011-05-31,347.8300,351.8300,329.4200
2011-04-29,350.1300,355.1300,320.1600
2011-03-31,348.5075,361.6700,326.2600
2011-02-28,353.2100,364.9000,337.7200
2011-01-31,339.3200,348.6000,324.8365
2010-12-31,322.5600,326.6600,314.8900
2010-11-30,311.1500,321.3000,297.7600
2010-10-29,300.9800,319.0000,277.7700
2010-09-30,283.7500,294.7300,246.2800
2010-08-31,243.1000,264.2800,235.5600
2010-07-30,257.2500,265.9900,239.6000
2010-06-30,251.5300,279.0100,242.2000
2010-05-28,256.8800,267.8800,199.2500
2010-04-30,261.0900,272.4600,232.7500
2010-03-31,235.0000,237.4800,205.4500
2010-02-26,204.6200,205.1700,190.8500
2010-01-29,192.0630,215.5900,190.2500
2009-12-31,210.7320,213.9500,188.6800
2009-11-30,199.9100,208.0000,185.5700
2009-10-30,188.5000,208.7099,180.7000
2009-09-30,185.3500,188.9000,164.1100
2009-08-31,168.2100,172.4900,159.4200
2009-07-31,163.3900,165.0000,134.4200
2009-06-30,142.4300,146.4000,132.8800
2009-05-29,135.8100,135.9000,119.3800
2009-04-30,125.8300,127.2000,103.8900
2009-03-31,105.1200,109.9800,82.3300
2009-02-27,89.3100,103.0000,86.5100
2009-01-30,90.1300,97.1700,78.2000
2008-12-31,85.3500,103.6000,84.5500
2008-11-28,92.6700,111.7900,79.1400
2008-10-31,107.5900,116.4000,85.0000
2008-09-30,113.6600,173.5000,100.5900
2008-08-29,169.5300,180.4500,152.9100
2008-07-31,158.9500,180.9100,146.5300
2008-06-30,167.4400,189.9500,164.1500
2008-05-30,188.7500,192.2400,172.0000
2008-04-30,173.9500,180.0000,143.6100
2008-03-31,143.5000,145.7400,118.0000
2008-02-29,125.0200,136.5900,115.4400
2008-01-31,135.3600,200.2600,126.1400
2007-12-31,198.0800,202.9600,176.9900
2007-11-30,182.2200,192.6800,150.6300
2007-10-31,189.9500,190.1200,152.9300
2007-09-28,153.4700,155.0000,130.0000
2007-08-31,138.4800,139.6500,111.6200
2007-07-31,131.7600,148.9200,119.3000
2007-06-29,122.0400,127.6100,115.4000
2007-05-31,121.1910,122.1700,98.5500
2007-04-30,99.8000,102.5000,89.6000
2007-03-30,92.9100,96.8300,83.7500
2007-02-28,84.6100,90.8100,82.8600
2007-01-31,85.7300,97.8000,81.9000
2006-12-29,84.8400,92.3300,76.7700
2006-11-30,91.6600,93.1590,77.7900
2006-10-31,81.0800,82.6000,72.6000
2006-09-29,76.9800,77.7800,67.8200
2006-08-31,67.8500,70.0000,62.5800
2006-07-31,67.9600,68.6300,50.1600
2006-06-30,57.2700,63.1000,55.4100
2006-05-31,59.7700,73.8000,58.6900
2006-04-28,70.3900,72.0500,61.0500
2006-03-31,62.7200,69.9900,57.6700
2006-02-28,68.4900,76.4600,62.9000
2006-01-31,75.5100,86.4000,70.8700
2005-12-30,71.8900,75.4600,68.8100
2005-11-30,67.8200,71.0700,56.8700
