date,close,high,low
2021-01-06,3138.3800,3272.0000,3131.1600
2020-12-31,3256.9300,3350.6500,3072.8200
2020-11-30,3168.0400,3366.8000,2950.1200
2020-10-30,3036.1500,3496.2400,3019.0000
2020-09-30,3148.7300,3552.2500,2871.0000
2020-08-31,3450.9600,3495.0000,3073.0000
2020-07-31,3164.6800,3344.2900,2754.0000
2020-06-30,2758.8200,2796.0000,2437.1300
2020-05-29,2442.3700,2525.4500,2256.3800
2020-04-30,2474.0000,2475.0000,1889.1500
2020-03-31,1949.7200,1996.3300,1626.0300
2020-02-28,1883.7500,2185.9500,1811.1300
2020-01-31,2008.7200,2055.7200,1815.3400
2019-12-31,1847.8400,1901.4000,1735.0000
2019-11-29,1800.8000,1824.6900,1722.7100
2019-10-31,1776.6600,1798.8500,1685.0600
2019-09-30,1735.9100,1853.6600,1709.2200
2019-08-30,1776.2900,1897.9200,1743.5100
2019-07-31,1866.7800,2035.8000,1849.4400
2019-06-28,1893.6300,1935.2000,1672.0000
2019-05-31,1775.0700,1964.4000,1772.7000
2019-04-30,1926.5200,1956.3400,1798.7300
2019-03-29,1780.7500,1823.7500,1586.5700
2019-02-28,1639.8300,1673.0600,1566.7600
2019-01-31,1718.7300,1736.4100,1460.9300
2018-12-31,1501.9700,1778.3400,1307.0000
2018-11-30,1690.1700,1784.0000,1420.0000
2018-10-31,1598.0100,2033.1900,1476.3600
2018-09-28,2003.0000,2050.5000,1865.0000
2018-08-31,2012.7100,2025.5700,1776.0200
2018-07-31,1777.4400,1880.0500,1678.0600
2018-06-29,1699.8000,1763.1000,1635.0900
2018-05-31,1629.6200,1635.0000,1546.0200
2018-04-30,1566.1300,1638.1000,1352.8800
2018-03-29,1447.3400,1617.5400,1365.2000
2018-02-28,1512.4500,1528.7000,1265.9300
2018-01-31,1450.8900,1472.5800,1170.5100
2017-12-29,1169.4700,1194.7800,1124.7400
2017-11-30,1176.7500,1213.4100,1086.8700
2017-10-31,1105.2800,1122.7900,950.3700
2017-09-29,961.3500,1000.0000,931.7500
2017-08-31,980.6000,1003.2100,936.3300
2017-07-31,987.7800,1083.3100,951.0001
2017-06-30,968.0000,1017.0000,927.0000
2017-05-31,994.6200,1001.2000,927.8000
2017-04-28,924.9900,949.5900,884.4900
2017-03-31,886.5400,890.3500,833.5000
2017-02-28,845.0400,860.8600,803.0000
2017-01-31,823.4800,843.8400,747.7000
2016-12-30,749.8700,782.4600,736.7000
2016-11-30,750.5700,800.8400,710.1000
2016-10-31,789.8200,847.2100,774.6100
2016-09-30,837.3100,839.9500,756.0000
2016-08-31,769.1600,774.9800,750.3500
2016-07-29,758.8100,766.0000,716.5400
2016-06-30,715.6200,731.5000,682.1150
2016-05-31,722.7900,724.2300,656.0000
2016-04-29,659.5900,669.9800,585.2500
2016-03-31,593.6400,603.2400,538.5800
2016-02-29,552.5200,581.8000,474.0000
2016-01-29,587.0000,657.7150,547.1800
2015-12-31,675.8900,696.4400,635.2700
2015-11-30,664.8000,682.7700,620.4100
2015-10-30,625.9000,630.7200,506.0000
2015-09-30,511.8900,549.7800,490.5000
2015-08-31,512.8900,542.7400,451.0000
2015-07-31,536.1500,580.5700,425.5700
2015-06-30,434.0900,447.0400,419.1400
2015-05-29,429.2300,439.0000,414.5500
2015-04-30,421.7800,452.6500,368.3400
2015-03-31,372.1000,388.4182,365.6500
2015-02-27,380.1600,389.3700,350.0100
2015-01-30,354.5300,359.5000,285.2500
2014-12-31,310.3500,340.6400,293.0300
2014-11-28,338.6400,341.2600,292.2900
2014-10-31,305.4600,325.1600,284.0000
2014-09-30,322.4400,349.3800,317.6400
2014-08-29,339.0400,346.6700,304.5880
2014-07-31,312.9900,364.8500,311.8600
2014-06-30,324.7800,340.7199,303.8400
2014-05-30,312.5500,314.8700,284.3800
2014-04-30,304.1300,348.2950,288.0000
2014-03-31,336.3650,383.1100,330.8800
2014-02-28,362.1000,365.8650,337.7300
2014-01-31,358.6900,408.0600,357.7600
2013-12-31,398.7900,405.6300,379.5000
2013-11-29,393.6200,394.0999,341.8800
2013-10-31,364.0300,368.4000,296.5025
2013-09-30,312.6400,320.5700,284.1700
2013-08-30,280.9800,306.2100,279.3300
2013-07-31,301.2200,313.6200,277.1600
2013-06-28,277.6900,283.3400,262.9500
2013-05-31,269.2000,271.9100,245.7500
2013-04-30,253.8100,275.8000,248.5600
