date,close,high,low
2021-01-06,263.3100,275.0000,260.0100
2020-12-31,273.1600,291.7800,264.6300
2020-11-30,276.9700,297.3800,257.3400
2020-10-30,263.1100,285.2400,254.8200
2020-09-30,261.9000,303.6000,244.1300
2020-08-31,293.2000,304.6700,247.4300
2020-07-31,253.6700,255.8500,226.9000
2020-06-30,227.0700,245.1853,207.1100
2020-05-29,225.0900,240.9000,198.7562
2020-04-30,204.7100,209.6900,150.8300
2020-03-31,166.8000,197.2400,137.1006
2020-02-28,192.4700,218.7650,181.8200
2020-01-31,201.9100,224.2000,201.0600
2019-12-31,205.2500,208.9300,193.1700
2019-11-29,201.6400,203.8000,188.5400
2019-10-31,191.6500,198.0900,173.0900
2019-09-30,178.0800,193.1000,175.6600
2019-08-30,185.6700,198.4700,176.6600
2019-07-31,194.2300,208.6600,191.9300
2019-06-28,193.0000,194.5300,160.8400
2019-05-31,177.4700,196.1769,177.1600
2019-04-30,193.4000,198.4800,167.2789
2019-03-29,166.6900,174.3000,159.2800
2019-02-28,161.4500,172.4700,159.5900
2019-01-31,166.6900,171.6800,128.5600
2018-12-31,131.0900,147.1900,123.0200
2018-11-30,140.6100,154.1300,126.8500
2018-10-31,151.7900,165.8800,139.0300
2018-09-28,164.4600,173.8900,158.8656
2018-08-31,175.7300,188.3000,170.2700
2018-07-31,172.5800,218.6200,166.5600
2018-06-29,194.3200,203.5500,186.4300
2018-05-31,191.7800,192.7200,170.2300
2018-04-30,172.0000,177.1000,150.5100
2018-03-29,159.7900,186.1000,149.0200
2018-02-28,178.3200,195.3200,167.1800
2018-01-31,186.8900,190.6600,175.8000
2017-12-29,176.4600,182.2800,169.0100
2017-11-30,177.1800,184.2500,174.0000
2017-10-31,180.0600,180.8000,168.2900
2017-09-29,170.8700,174.0000,161.5600
2017-08-31,171.9700,173.0500,165.0000
2017-07-31,169.2500,175.4900,147.8000
2017-06-30,150.9800,156.5000,144.5600
2017-05-31,151.4600,153.6000,144.4200
2017-04-28,150.2500,151.5300,138.8100
2017-03-31,142.0500,142.9500,136.0800
2017-02-28,135.5400,137.1800,130.3000
2017-01-31,130.3200,133.1400,115.5100
2016-12-30,115.0500,122.5000,114.0000
2016-11-30,118.4200,131.9400,113.5535
2016-10-31,130.9900,133.5000,126.7500
2016-09-30,128.2700,131.9800,125.6000
2016-08-31,126.1200,126.7300,122.0700
2016-07-29,123.9400,128.3300,112.9700
2016-06-30,114.2800,119.4400,108.2300
2016-05-31,118.8100,121.0800,114.8000
2016-04-29,117.5800,120.7900,106.3100
2016-03-31,114.1000,116.9900,104.4000
2016-02-29,106.9200,117.5900,96.8200
2016-01-29,112.2100,112.8400,89.3700
2015-12-31,104.6600,107.9200,101.4600
2015-11-30,104.2400,110.6500,100.4700
2015-10-30,101.9700,105.1200,88.3600
2015-09-30,89.9000,96.4900,85.7200
2015-08-31,89.4300,98.7400,72.0000
2015-07-31,94.0100,99.2400,85.2310
2015-06-30,85.7650,89.4000,78.6600
2015-05-29,79.1900,81.8450,76.7900
2015-04-30,78.7700,85.5900,78.3200
2015-03-31,82.2150,86.0699,77.2600
2015-02-27,78.9700,81.3700,73.4500
2015-01-30,75.9100,79.2455,73.5400
2014-12-31,78.0200,82.1700,74.4000
2014-11-28,77.7000,78.2700,72.5100
2014-10-31,74.9900,81.1600,70.3200
2014-09-30,79.0400,79.7067,73.0700
2014-08-29,74.8200,75.9900,71.5500
2014-07-31,72.6500,76.7400,62.2100
2014-06-30,67.2900,68.0000,61.7900
2014-05-30,63.3000,64.3000,56.2600
2014-04-30,59.7800,63.9100,54.6600
2014-03-31,60.2400,72.5900,57.9800
2014-02-28,68.4600,71.4400,60.7000
2014-01-31,62.5700,63.3700,51.8500
2013-12-31,54.6490,58.5800,46.2600
2013-11-29,47.0100,52.0900,43.5500
2013-10-31,50.2050,54.8250,45.2600
2013-09-30,50.2300,51.6000,41.4400
2013-08-30,41.2940,42.2600,36.0201
2013-07-31,36.8000,38.3100,24.1500
2013-06-28,24.8800,25.1900,22.6700
2013-05-31,24.3480,29.0700,23.2600
2013-04-30,27.7690,28.1000,25.1500
2013-03-28,25.5800,28.6750,24.7200
2013-02-28,27.2500,31.0200,26.3400
2013-01-31,30.9810,32.5063,27.4200
2012-12-31,26.6197,28.8800,25.1500
2012-11-30,28.0000,28.0000,18.8700
2012-10-31,21.1100,24.2500,18.8000
2012-09-28,21.6600,23.3700,17.5500
2012-08-31,18.0580,22.4500,18.0300
2012-07-31,21.7100,32.8800,21.6100
2012-06-29,31.0950,33.4500,25.5200
