date,close,high,low
2021-01-06,44.6100,45.1000,41.0000
2020-12-31,41.2200,44.4690,38.3400
2020-11-30,38.1300,42.0800,32.5300
2020-10-30,32.6200,35.9500,31.1100
2020-09-30,34.3300,40.0300,33.7600
2020-08-31,39.9400,46.4200,39.3050
2020-07-31,42.0800,45.3800,40.9100
2020-06-30,44.7200,55.3600,43.1600
2020-05-29,45.4700,47.1500,40.2000
2020-04-30,46.4700,47.6800,36.3400
2020-03-31,37.9700,54.1500,30.1100
2020-02-28,51.4400,63.0100,48.0100
2020-01-31,62.1200,71.3700,61.8600
2019-12-31,69.7800,70.5400,67.5200
2019-11-29,68.1300,73.1200,67.3200
2019-10-31,67.5700,70.9100,66.3100
2019-09-30,70.6100,75.1800,67.6300
2019-08-30,68.4800,74.2700,66.5300
2019-07-31,74.3600,77.9300,74.1800
2019-06-28,76.6300,77.7600,70.9700
2019-05-31,70.7700,80.2600,70.6300
2019-04-30,80.2800,83.4900,79.5600
2019-03-29,80.8000,82.0000,77.8600
2019-02-28,79.0300,79.7500,72.7300
2019-01-31,73.2800,73.4900,67.2600
2018-12-31,68.1900,81.9500,64.6500
2018-11-30,79.5000,83.7500,74.7000
2018-10-31,79.6800,86.8900,76.2200
2018-09-28,85.0200,87.3600,79.6000
2018-08-31,80.1700,81.5900,76.5100
2018-07-31,81.5100,84.4000,80.7100
2018-06-29,82.7300,83.7900,79.3000
2018-05-31,81.2400,82.6500,75.4000
2018-04-30,77.7500,80.9000,72.1600
2018-03-29,74.6100,76.9800,72.6700
2018-02-28,75.7400,89.2500,73.9000
2018-01-31,87.3000,89.3000,83.6600
2017-12-29,83.6400,84.3600,82.1700
2017-11-30,83.2900,84.1400,80.0100
2017-10-31,83.3500,84.2400,81.2450
2017-09-29,81.9800,82.4500,76.3200
2017-08-31,76.3300,80.8200,76.0500
2017-07-31,80.0400,82.4900,78.2700
2017-06-30,80.7300,83.6900,79.2600
2017-05-31,80.5000,83.2300,80.4700
2017-04-28,81.6500,83.5500,80.3000
2017-03-31,82.0100,84.2500,80.3100
2017-02-28,81.3200,84.1600,80.7600
2017-01-31,83.8900,91.3400,83.1300
2016-12-30,90.2600,93.2150,86.6000
2016-11-30,87.3000,88.1900,82.7600
2016-10-31,83.3200,88.6700,82.9900
2016-09-30,87.2800,89.3700,82.2900
2016-08-31,87.1400,88.9400,85.5800
2016-07-29,88.9500,95.5500,86.1200
2016-06-30,93.7400,93.8273,87.6100
2016-05-31,89.0200,90.4600,87.2300
2016-04-29,88.4000,89.7800,81.9900
2016-03-31,83.5900,85.1000,80.3100
2016-02-29,80.1500,83.4400,73.5500
2016-01-29,77.8500,79.9200,71.5500
2015-12-31,77.9500,82.1300,73.7900
2015-11-30,81.6600,87.4350,77.9100
2015-10-30,82.7400,83.8800,73.0300
2015-09-30,74.3500,75.4700,71.5100
2015-08-31,75.2400,79.2850,66.5500
2015-07-31,79.2100,83.5300,78.9300
2015-06-30,83.2000,85.9700,82.8000
2015-05-29,85.2000,90.0900,84.7700
2015-04-30,87.3700,88.6700,83.8100
2015-03-31,85.0000,88.5200,82.6800
2015-02-27,88.5400,93.4500,87.5000
2015-01-30,87.4200,93.0500,86.0300
2014-12-31,92.4500,95.3300,86.1900
2014-11-28,90.5400,97.2000,90.1100
2014-10-31,96.7100,96.8900,86.9100
2014-09-30,94.0500,99.5900,93.6200
2014-08-29,99.4600,100.4300,97.6300
2014-07-31,98.9400,104.7600,98.9300
2014-06-30,100.6800,104.6100,99.5900
2014-05-30,100.5300,103.4500,100.3200
2014-04-30,102.4100,102.5700,96.2350
2014-03-31,97.6800,98.8500,93.0100
2014-02-28,96.2700,97.2500,89.2500
2014-01-31,92.1600,101.2150,91.7000
2013-12-31,101.2000,101.7400,92.9200
2013-11-29,93.4800,96.0000,88.2700
2013-10-31,89.6200,90.9600,84.7900
2013-09-30,86.0400,89.8700,85.6100
2013-08-30,87.1600,93.1000,86.3900
2013-07-31,93.7500,95.4900,89.9600
2013-06-28,90.3500,92.2700,88.0200
2013-05-31,90.4700,93.5000,87.4800
2013-04-30,88.9900,90.9850,85.0200
2013-03-28,90.1100,90.9800,87.9000
2013-02-28,89.5500,90.5000,86.5875
2013-01-31,89.9700,91.9300,87.2400
2012-12-31,86.5500,90.3700,84.7000
2012-11-30,88.1400,92.0500,85.0600
2012-10-31,91.1700,93.6700,89.6800
2012-09-28,91.4500,92.5700,86.5200
2012-08-31,87.3000,88.9100,85.5000
2012-07-31,86.8500,87.8500,82.8300
2012-06-29,85.5700,85.7000,77.1300
2012-05-31,78.6300,87.5200,78.4100
2012-04-30,86.3400,87.6700,81.8800
2012-03-30,86.7300,87.2500,84.0500
2012-02-29,86.5000,87.8300,83.1900
2012-01-31,83.7400,87.9400,83.4600
2011-12-30,84.7600,85.6300,78.6600
2011-11-30,80.4400,80.5300,73.9000
2011-10-31,78.0900,82.2000,69.2100
2011-09-30,72.6300,74.9800,67.9300
2011-08-31,74.0200,81.1800,67.0300
2011-07-29,79.7900,85.4100,79.7600
2011-06-30,81.3800,83.6500,76.7200
2011-05-31,83.4700,88.1300,79.4200
2011-04-29,87.9800,88.0000,82.3800
2011-03-31,84.1300,86.5000,78.8000
2011-02-28,85.5300,88.2300,81.0400
2011-01-31,80.6800,80.8200,73.6400
2010-12-31,73.1200,73.6900,70.3800
2010-11-30,69.5600,71.9000,66.6299
2010-10-29,66.4900,66.8100,61.8000
2010-09-30,61.7900,62.4400,59.7200
2010-08-31,59.1100,62.9900,58.0500
2010-07-30,59.6800,61.8800,55.9400
2010-06-30,57.0700,64.5000,56.9200
2010-05-28,60.4600,68.2200,58.4600
2010-04-30,67.7700,70.0000,66.8500
2010-03-31,66.9800,67.8900,65.0800
2010-02-26,65.0000,67.2300,63.5600
2010-01-29,64.4300,70.6000,64.0200
2009-12-31,68.1900,76.3000,67.6400
2009-11-30,75.0700,76.5400,71.0400
2009-10-30,71.6700,75.0000,66.1100
2009-09-30,68.6100,71.0800,67.8300
2009-08-31,69.1500,71.8900,66.0900
2009-07-31,70.3900,72.7900,64.4600
2009-06-30,69.9100,74.8300,68.0800
2009-05-29,69.3500,71.3900,65.6000
2009-04-30,66.6700,71.1500,64.5000
2009-03-31,68.1000,71.4900,61.8600
2009-02-27,67.9000,80.5000,67.9000
2009-01-30,76.4800,82.7300,74.0100
2008-12-31,79.8300,83.6400,72.6800
2008-11-28,80.1500,81.0300,67.5401
2008-10-31,74.1200,81.7500,56.5100
2008-09-30,77.6600,82.0000,71.5100
2008-08-29,80.0100,81.5000,76.1400
2008-07-31,80.4300,89.6300,79.1000
2008-06-30,88.1300,90.5000,84.7700
2008-05-30,88.7600,96.1200,87.6000
2008-04-30,93.0700,94.9300,84.2600
2008-03-31,84.5800,88.5000,81.9700
2008-02-29,87.0100,90.1700,80.3600
2008-01-31,86.4000,94.7400,77.5500
2007-12-31,93.6900,95.1000,87.7100
2007-11-30,89.1600,90.9500,83.3700
2007-10-31,91.9900,95.2700,89.6700
2007-09-28,92.5600,93.6600,83.8800
2007-08-31,85.7300,87.9000,78.7600
2007-07-31,85.1300,93.6200,84.1200
2007-06-29,83.8800,86.5800,80.8500
2007-05-31,83.1700,84.3200,79.0500
2007-04-30,79.3800,80.8800,75.2800
2007-03-30,75.4500,76.3500,69.0200
2007-02-28,71.6800,76.1000,71.1800
2007-01-31,74.1000,76.2700,70.6400
2006-12-29,76.6300,79.0000,74.8200
2006-11-30,76.8100,77.3700,70.2700
2006-10-31,71.4200,72.3300,64.8400
2006-09-29,67.1000,68.6500,63.8700
2006-08-31,67.6700,71.2200,67.0100
2006-07-31,67.7400,67.9400,61.6300
2006-06-30,61.3500,62.6500,56.6400
2006-05-31,60.9100,64.7700,59.1500
2006-04-28,63.0800,65.0000,60.4300
2006-03-31,60.8600,61.9200,58.4400
2006-02-28,59.3700,63.0800,58.6000
2006-01-31,62.7500,63.9600,56.4200
2005-12-30,56.1700,60.3800,55.6000
2005-11-30,58.0300,60.2600,55.8400
2005-10-31,56.1400,63.8900,54.5000
2005-09-30,63.5400,65.9600,60.1000
2005-08-31,59.9000,61.3400,57.7600
2005-07-29,58.7500,60.7300,57.6000
2005-06-30,57.4700,61.1300,56.3300
2005-05-31,56.2000,58.6500,52.7800
2005-04-29,57.0300,61.7400,55.4000
2005-03-31,59.6000,64.3700,57.3800
2005-02-28,63.3100,64.0400,51.9300
2005-01-31,51.6000,51.9700,49.2500
2004-12-31,51.2600,52.0500,48.9000
2004-11-30,51.2500,52.0000,48.2500
2004-10-29,49.2200,50.4600,48.1800
2004-09-30,48.3300,49.7900,46.0300
2004-08-31,46.1000,46.9400,44.2000
2004-07-30,46.3000,46.8200,44.2000
2004-06-30,44.4100,45.5300,43.1000
2004-05-28,43.2500,44.2400,41.5900
2004-04-30,42.5500,43.9700,41.4300
2004-03-31,41.5900,43.4000,39.9100
2004-02-27,42.1700,42.7500,40.0500
2004-01-30,40.7900,41.7700,40.0200
2003-12-31,41.0000,41.1300,36.2200
2003-11-28,36.2000,36.9925,35.0500
2003-10-31,36.5800,38.9300,36.1200
2003-09-30,36.6000,38.5000,36.3500
2003-08-29,37.7000,37.7400,35.1200
2003-07-31,35.5800,36.4000,34.9000
2003-06-30,35.9100,38.4500,35.9100
2003-05-30,36.4000,36.7700,34.9900
2003-04-30,35.2000,36.0000,34.2000
2003-03-31,34.9500,36.2000,33.2300
2003-02-28,34.0200,35.1000,32.3200
2003-01-31,34.1500,36.6000,31.5800
2002-12-31,34.9400,36.2200,34.1000
2002-11-29,34.8000,35.8500,33.0000
2002-10-31,33.6600,36.5000,32.0300
2002-09-30,31.9000,35.8000,31.1800
2002-08-30,35.4500,37.8000,32.3200
2002-07-31,36.7600,41.1000,29.7500
2002-06-28,40.9200,41.0200,38.5000
2002-05-31,39.9300,41.1300,38.6800
2002-04-30,40.1700,44.5800,39.6000
2002-03-28,43.8300,44.2900,41.6500
2002-02-28,41.3000,41.8000,37.6000
2002-01-31,39.0500,40.0900,37.8000
2001-12-31,39.3000,40.3000,36.4100
2001-11-30,37.4000,40.5800,36.7600
2001-10-31,39.4500,42.7000,38.0500
2001-09-28,39.4000,41.5000,35.0100
2001-08-31,40.1500,42.4900,30.9400
2001-07-31,41.7600,88.8000,40.5200
2001-06-29,87.3500,91.6700,86.1600
2001-05-31,88.7500,90.6500,85.4500
2001-04-30,88.6000,89.8800,77.0000
2001-03-30,81.0000,86.4900,75.2000
2001-02-28,81.0500,86.6500,80.9000
2001-01-31,84.1500,89.7500,78.6900
2000-12-29,86.9400,91.3800,84.0600
2000-11-30,88.0000,94.6900,86.5600
2000-10-31,89.1900,95.4400,85.8100
2000-09-29,89.1100,90.7500,81.7500
2000-08-31,81.6400,84.7500,79.7500
2000-07-31,80.1900,81.1300,75.1300
2000-06-30,78.5000,84.7500,77.6900
2000-05-31,83.3100,83.9400,77.0000
2000-04-28,77.6900,83.1300,75.0000
2000-03-31,78.0000,82.0000,72.0000
2000-02-29,75.3100,84.8800,69.8800
2000-01-31,82.8800,86.3100,76.5000
1999-12-31,80.5600,86.5600,79.2500
