fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-09-30,42296000000,None,None,None,None,None,38016000000,90943000000,50779000000,16976763000,50779000000,13769000000,None,None,None,None,None,4061000000,323888000000,98667000000,100887000000,None,37445000000,65339000000,33952000000,11264000000,49327000000,46108000000,54490000000,42522000000,-406000000,None,None,36766000000,USD,14966000000,14966000000,13769000000,52927000000,323888000000,143713000000,105392000000,258549000000,98667000000,180175000000,153157000000,None,65339000000,None,None
2020-06-30,35325000000,None,None,None,None,None,33383000000,93025000000,48696000000,4283939000,48696000000,18675000000,None,None,None,None,None,3978000000,317344000000,94048000000,100592000000,None,32075000000,72282000000,32836000000,10987000000,41318000000,47606000000,55696000000,41000000000,-550000000,None,None,35687000000,USD,24136000000,24136000000,18675000000,59642000000,317344000000,140065000000,95318000000,245062000000,94048000000,177279000000,149744000000,None,72282000000,None,None
2020-03-31,32421000000,None,None,None,None,None,40174000000,94051000000,48032000000,4323987000,48032000000,20421000000,None,None,None,None,None,3334000000,320400000000,89086000000,98793000000,None,30677000000,78425000000,33868000000,15691000000,43252000000,48745000000,56795000000,41965000000,-2789000000,None,None,35889000000,USD,33182000000,33182000000,20421000000,53877000000,320400000000,143753000000,96094000000,241975000000,89086000000,176647000000,145881000000,None,78425000000,None,None
2019-12-31,45111000000,None,None,None,None,None,39771000000,107162000000,45972000000,4384959000,45972000000,15214000000,None,None,None,None,None,4097000000,340618000000,93078000000,99899000000,None,39946000000,89531000000,33195000000,12026000000,41836000000,48648000000,55848000000,40457000000,-418000000,None,None,37031000000,USD,43977000000,43977000000,15214000000,67391000000,340618000000,163231000000,102161000000,251087000000,93078000000,177387000000,148926000000,None,89531000000,None,None
2019-09-30,46236000000,None,None,None,None,None,48844000000,100557000000,45174000000,4443236000,45174000000,16240000000,None,None,None,None,None,4106000000,338516000000,91807000000,105341000000,None,45804000000,90488000000,32978000000,12352000000,43242000000,50503000000,50503000000,32978000000,-584000000,None,None,37378000000,USD,45898000000,45898000000,16240000000,51713000000,338516000000,162819000000,105718000000,248028000000,91807000000,175697000000,142310000000,None,90488000000,None,None
2019-06-30,29115000000,None,None,None,None,None,50530000000,94614000000,43371000000,4531395000,43371000000,23482000000,None,None,None,None,None,3355000000,322239000000,84936000000,115996000000,None,26474000000,96456000000,33634000000,10530000000,37107000000,51143000000,51143000000,33634000000,-639000000,None,None,37636000000,USD,53724000000,53724000000,23482000000,44084000000,322239000000,134973000000,89704000000,225783000000,84936000000,187266000000,136079000000,None,96456000000,None,None
2019-03-31,30443000000,None,None,None,None,None,37988000000,80092000000,42801000000,4607284000,42801000000,22429000000,None,None,None,None,None,4884000000,341998000000,90201000000,145319000000,None,26278000000,105860000000,34587000000,12092000000,40900000000,52165000000,52165000000,34587000000,-1499000000,None,None,38746000000,USD,64558000000,64558000000,22429000000,42104000000,341998000000,123346000000,93772000000,236138000000,90201000000,218652000000,142366000000,None,105860000000,None,None
2018-12-31,44293000000,None,None,None,None,None,44771000000,86427000000,40970000000,4729803000,40970000000,9772000000,None,None,None,None,None,4988000000,373719000000,92989000000,158608000000,None,36981000000,117892000000,34686000000,12432000000,42249000000,54555000000,54555000000,34686000000,-3588000000,None,None,39597000000,USD,80510000000,80510000000,21741000000,41656000000,373719000000,140828000000,108283000000,255827000000,92989000000,232891000000,147544000000,None,117892000000,None,None
2018-09-30,55888000000,None,None,0,None,None,25913000000,66301000000,40201000000,4754986000,40201000000,8784000000,None,2797000000,None,0,0,3956000000,365725000000,93735000000,170799000000,None,48995000000,107147000000,22283000000,12087000000,40230000000,47977000000,45180000000,22283000000,-3454000000,None,0,41304000000,USD,70400000000,70400000000,20748000000,40388000000,365725000000,131339000000,116866000000,258578000000,93735000000,234386000000,141712000000,0,107147000000,0,None
2018-06-30,63673000000,None,None,0,None,None,31971000000,70970000000,38624000000,4842917000,38624000000,5498000000,None,2878000000,None,0,0,5936000000,349197000000,97128000000,172773000000,None,26367000000,114949000000,22546000000,12488000000,7403000000,48572000000,45694000000,22546000000,-3111000000,None,0,38117000000,USD,79436000000,79436000000,17472000000,38999000000,349197000000,115761000000,88548000000,234248000000,97128000000,233436000000,145700000000,0,114949000000,0,None
2018-03-31,61067000000,None,None,0,None,None,45059000000,87940000000,38044000000,4943282000,38044000000,8498000000,None,3087000000,None,0,0,7662000000,367502000000,101362000000,179286000000,None,22408000000,126878000000,23086000000,12043000000,7775000000,49942000000,46855000000,23086000000,-3064000000,None,0,35077000000,USD,91898000000,91898000000,20478000000,42881000000,367502000000,130053000000,89320000000,240624000000,101362000000,237449000000,151304000000,0,126878000000,0,None
2017-12-31,89266000000,None,None,0,None,None,27491000000,77153000000,36447000000,5081651000,36447000000,6498000000,None,3131000000,None,5889000000,2149000000,4421000000,406794000000,103922000000,207944000000,None,50899000000,132161000000,229305000000,11337000000,8044000000,46337000000,43754000000,13323000000,-841000000,None,0,33679000000,USD,104593000000,104593000000,18478000000,49662000000,406794000000,143810000000,115788000000,266595000000,103922000000,262984000000,150807000000,0,140199000000,0,None
2017-09-30,74793000000,None,None,0,None,None,20289000000,74181000000,35867000000,5126201000,35867000000,6496000000,None,2836000000,None,5717000000,2298000000,4855000000,375319000000,97207000000,194714000000,None,35673000000,126032000000,212891000000,13936000000,7548000000,11747000000,40415000000,10162000000,-150000000,None,0,33783000000,USD,98330000000,98330000000,18473000000,53892000000,375319000000,128645000000,100814000000,241272000000,97207000000,246674000000,140458000000,0,134047000000,0,None
2017-06-30,55219000000,None,None,0,None,None,18571000000,76759000000,34445000000,5169782000,34445000000,108603000000,None,2984000000,None,5661000000,2444000000,3146000000,345173000000,89864000000,184757000000,None,22632000000,124320000000,203012000000,10338000000,7608000000,11391000000,38598000000,10150000000,-545000000,None,0,29286000000,USD,98525000000,98525000000,18475000000,58188000000,345173000000,112875000000,81302000000,212748000000,89864000000,232298000000,131446000000,0,132425000000,0,None
2017-03-31,51669000000,None,None,0,None,None,15157000000,67101000000,33579000000,5205815000,33579000000,13991000000,None,3107000000,None,5473000000,2617000000,2910000000,334532000000,84531000000,189740000000,None,20612000000,125992000000,205379000000,11367000000,7682000000,14351000000,39470000000,7549000000,-422000000,None,0,27163000000,USD,100925000000,100925000000,13999000000,51944000000,334532000000,101990000000,73342000000,200450000000,84531000000,232542000000,127108000000,0,134082000000,0,None
2016-12-31,62249000000,None,None,0,None,None,16371000000,60452000000,32144000000,5255423000,32144000000,13992000000,None,3163000000,None,5423000000,2848000000,2712000000,331141000000,73557000000,185638000000,None,27977000000,124119000000,201299000000,12191000000,7889000000,14116000000,37901000000,7390000000,245000000,None,0,26510000000,USD,100001000000,100001000000,13992000000,44081000000,331141000000,103332000000,84130000000,198751000000,73557000000,227809000000,114621000000,0,132390000000,0,None
2016-09-30,59321000000,None,None,0,None,None,20484000000,67155000000,31251000000,5336166000,31251000000,3500000000,None,2930000000,None,5414000000,3206000000,2132000000,321686000000,75427000000,170430000000,None,29299000000,119629000000,187807000000,8283000000,8080000000,12985000000,36074000000,8757000000,634000000,None,0,27010000000,USD,96364000000,96364000000,11600000000,46671000000,321686000000,106869000000,79006000000,193437000000,75427000000,214817000000,114431000000,0,128249000000,0,None
2016-06-30,47138000000,None,None,0,None,None,18237000000,61756000000,30106000000,5393165000,30106000000,15996000000,None,3064000000,None,5261000000,3506000000,1831000000,305602000000,68939000000,169764000000,None,19042000000,117774000000,186393000000,11132000000,8352000000,14076000000,35572000000,7862000000,-107000000,None,0,25448000000,USD,96542000000,96542000000,15996000000,43519000000,305602000000,93761000000,71486000000,179061000000,68939000000,211841000000,107575000000,0,126541000000,0,None
2016-03-31,48306000000,None,None,0,None,None,21514000000,55283000000,29484000000,5478446000,29484000000,10498000000,None,3322000000,None,5249000000,3843000000,2281000000,305277000000,69374000000,177645000000,None,19824000000,121365000000,194482000000,10204000000,9461000000,14226000000,33859000000,7745000000,-1048000000,None,0,23203000000,USD,102021000000,102021000000,10498000000,33769000000,305277000000,87592000000,68265000000,174820000000,69374000000,217685000000,106555000000,0,130457000000,0,None
2015-12-31,57344000000,None,None,0,None,None,16689000000,38074000000,28253000000,5544487000,28253000000,None,None,3546000000,None,5202000000,3924000000,2451000000,293284000000,53204000000,177665000000,None,24621000000,119141000000,194765000000,11073000000,8989000000,14104000000,32175000000,7974000000,-1480000000,None,0,22300000000,USD,101494000000,101494000000,9759000000,21385000000,293284000000,76219000000,76092000000,165017000000,53204000000,217065000000,88925000000,0,128267000000,0,None
2015-09-30,60671000000,None,None,0,None,None,21120000000,41601000000,27416000000,5578753000,27416000000,2513000000,None,3624000000,None,5116000000,3893000000,2349000000,290479000000,53463000000,164065000000,None,35889000000,110346000000,178630000000,9539000000,8940000000,12989000000,33427000000,5556000000,-345000000,None,0,22471000000,USD,92284000000,92284000000,10999000000,20481000000,290479000000,89378000000,80610000000,171124000000,53463000000,201101000000,90514000000,0,119355000000,0,None
