fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-09-30,92661000000,None,None,None,48589000000,40307000000,29930000000,68402000000,5000000,502000000,5000000,None,None,None,None,14960000000,None,23735000000,282179000000,32929000000,None,None,20832000000,116404000000,16150000000,239000000,9251000000,15974000000,15974000000,54269000000,-1029000000,None,None,99981000000,USD,45329000000,45329000000,None,38472000000,282179000000,112969000000,101912000000,150815000000,32929000000,169210000000,48903000000,None,82775000000,-1837000000,None
2020-06-30,84899000000,None,None,None,42798000000,38017000000,37466000000,71391000000,5000000,501000000,5000000,None,None,None,None,14751000000,None,19599000000,258314000000,33128000000,None,None,19918000000,101775000000,15101000000,354000000,8997000000,14764000000,14764000000,46138000000,-1455000000,None,None,86517000000,USD,38998000000,38998000000,None,33925000000,258314000000,110908000000,93896000000,141788000000,33128000000,147406000000,47892000000,None,73728000000,-1837000000,None
2020-03-31,70847000000,None,None,None,40300000000,35412000000,27201000000,49292000000,5000000,499000000,5000000,None,None,None,None,14739000000,None,18857000000,221238000000,23437000000,None,None,17836000000,90833000000,16456000000,282000000,8864000000,12518000000,12518000000,42735000000,-2063000000,None,None,77779000000,USD,33755000000,33755000000,None,22091000000,221238000000,85985000000,79711000000,115666000000,23437000000,135253000000,35955000000,None,65272000000,-1837000000,None
2019-12-31,79622000000,None,None,None,39791000000,33658000000,36092000000,55021000000,5000000,498000000,5000000,1307000000,None,None,None,14754000000,4049000000,20497000000,225248000000,23414000000,2169000000,None,20816000000,87097000000,10096000000,276000000,8190000000,12171000000,12171000000,41455000000,-986000000,None,None,72705000000,USD,31220000000,31220000000,1307000000,18929000000,225248000000,96334000000,87812000000,123397000000,23414000000,128914000000,35585000000,None,62060000000,-1837000000,None
2019-09-30,64755000000,None,None,None,37058000000,31817000000,23255000000,43401000000,5000000,495000000,5000000,2841000000,None,None,None,14734000000,None,18766000000,199099000000,22472000000,1420000000,None,16887000000,78832000000,13115000000,257000000,7381000000,10925000000,10925000000,37649000000,-1429000000,None,None,67662000000,USD,27952000000,27952000000,2841000000,20146000000,199099000000,79054000000,72136000000,105533000000,22472000000,120045000000,33397000000,None,56508000000,-1837000000,None
2019-06-30,62203000000,None,None,None,35134000000,30035000000,22616000000,41463000000,5000000,494000000,5000000,1636000000,None,None,None,14727000000,None,18580000000,191351000000,23329000000,1501000000,None,16747000000,73468000000,11961000000,418000000,7475000000,10149000000,10149000000,35111000000,-960000000,None,None,64723000000,USD,25818000000,25818000000,1636000000,18847000000,191351000000,76790000000,69678000000,103156000000,23329000000,114561000000,33478000000,None,53061000000,-1837000000,None
2019-03-31,56397000000,None,None,None,33275000000,28059000000,23115000000,37020000000,5000000,492000000,5000000,1608000000,None,None,None,14708000000,None,16432000000,178102000000,23322000000,594000000,None,15979000000,66977000000,12070000000,359000000,7298000000,9400000000,9400000000,32915000000,-1010000000,None,None,61048000000,USD,23193000000,23193000000,1608000000,13905000000,178102000000,69431000000,63695000000,96417000000,23322000000,108671000000,32722000000,None,48410000000,-1837000000,None
2018-12-31,38192000000,None,None,None,None,26791000000,31750000000,41250000000,5000000,491000000,5000000,1371000000,None,None,None,14548000000,4110000000,17174000000,162648000000,23495000000,440000000,None,16677000000,29001000000,6652000000,418000000,30199000000,10921000000,27213000000,11202000000,-1035000000,None,None,61797000000,USD,19625000000,19625000000,1371000000,9500000000,162648000000,75101000000,68391000000,119099000000,23495000000,87547000000,50708000000,None,43549000000,-1837000000,None
2018-09-30,30904000000,None,None,0,None,25375000000,20425000000,29765000000,5000000,489000000,5000000,44000000,None,0,None,14553000000,14553000000,15862000000,143695000000,24684000000,573000000,None,14258000000,24572000000,10665000000,604000000,24420000000,9362000000,24562000000,11238000000,-1034000000,None,0,58019000000,USD,16616000000,16616000000,44000000,9340000000,143695000000,59885000000,55324000000,104570000000,24684000000,83810000000,49246000000,0,39125000000,-1837000000,None
2018-06-30,27657000000,None,None,0,None,24028000000,19823000000,27050000000,5000000,487000000,5000000,31000000,None,1200000000,None,13944000000,13944000000,14824000000,134100000000,24638000000,577000000,None,12607000000,21051000000,10330000000,707000000,23144000000,9466000000,23666000000,10907000000,-934000000,None,0,54768000000,USD,13733000000,13733000000,31000000,7227000000,134100000000,54481000000,50801000000,99105000000,24638000000,79619000000,48304000000,0,34995000000,-1837000000,None
