fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-10-31,USD,3050311000,9524000,None,425357000,1550393000,1499918000,160142000,857482000,284000,411858000,75923000,24340000,207548000,730506000,1413948000,None,None,1317000,171085000,2624276000,18630000,1466054000,1141425000,280896000,None,None,12666000,None,None,None,None,None,None,None,6593000,None,426035000,70372000,None,3229000,136445000,None,None,None,None,None,None,None,None
2020-07-31,USD,2624941000,6800000,None,399979000,1426129000,1198812000,152595000,736375000,283000,213216000,75698000,24340000,191575000,748944000,1287326000,None,None,2772000,156586000,2232102000,18538000,1167672000,732995000,295330000,None,None,12615000,None,None,None,None,None,None,None,6337000,None,392839000,72772000,None,3220000,138803000,None,None,None,None,None,None,None,None
2020-04-30,USD,2067709000,None,None,355772000,1166078000,901631000,115643000,537284000,280000,27227000,69361000,None,145419000,488653000,1033728000,None,None,1887000,125795000,1782957000,18538000,901631000,616714000,257512000,None,None,3472000,None,None,None,None,None,None,None,11796000,None,284752000,71711000,None,2420000,132350000,None,None,None,872237000,None,1105367000,None,None
2020-01-31,USD,1289845000,None,None,97573000,455902000,833943000,46245000,221065000,277000,152000,57280000,None,65577000,283134000,333830000,None,None,809000,125746000,1095522000,3000000,833943000,572060000,120435000,None,None,1596000,None,None,None,None,None,None,None,10321000,None,194323000,72467000,None,2329000,122072000,None,None,None,832705000,None,855194000,None,254000000
2019-10-31,USD,1188057000,None,None,2764000,415540000,772517000,40792000,13388000,275000,-15187000,47605000,None,58502000,230874000,317803000,None,None,651000,107156000,1019399000,3000000,772517000,580526000,95770000,None,None,3202000,None,None,None,None,None,None,None,7344000,None,168658000,55857000,None,1281000,97737000,None,None,None,786778000,None,811400000,None,293000000
2019-07-31,USD,1069923000,None,None,35602000,326127000,743796000,37688000,6438000,272000,-17398000,49027000,None,50751000,213886000,228996000,None,None,-68000,103113000,916059000,None,743796000,541380000,95682000,None,None,819000,None,None,None,None,None,None,None,13063000,None,153864000,53381000,None,2029000,97131000,None,None,None,760990000,None,755266000,None,292000000
2019-04-30,USD,999052000,None,None,30539000,279324000,719728000,32192000,5768000,271000,-22939000,38843000,None,42031000,629793000,194425000,5693000,5693000,8000,90681000,866340000,None,719728000,107389000,78888000,46056000,None,9678000,None,None,None,None,None,None,None,9839000,None,132712000,51749000,None,1491000,84899000,None,None,None,742388000,None,737182000,None,136000000
2019-01-31,USD,354565000,None,None,None,187233000,167332000,None,5473000,None,-25153000,None,None,None,63624000,152341000,None,None,None,None,276719000,None,None,112777000,63613000,None,None,4963000,None,None,None,None,None,None,None,77846000,None,11508000,None,None,24241000,34892000,None,None,None,None,None,None,None,116000000
2018-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,111000000
2018-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,108000000
2018-04-30,USD,None,None,None,None,None,-26671000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-26671000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,81000000
